Country of Registration;CFR;UVI;Event;Event Start Date;Event End Date;Registration Number;External marking;Name of vessel;Place of registration;Place of registration name;IRCS;IRCS indicator;Licence indicator;VMS indicator;ERS indicator;ERS Exempt indicator;AIS indicator;MMSI;Vessel Type;Main fishing gear;Subsidiary fishing gear 1;Subsidiary fishing gear 2;Subsidiary fishing gear 3;Subsidiary fishing gear 4;Subsidiary fishing gear 5;LOA;LBP;Tonnage GT;Other tonnage;GTs;Power of main engine;Power of auxiliary engine;Hull material;Date of entry into service;Segment;Country of importation/exportation;Type of export;Public aid;Year of construction
GBR;GBR000C20753;;MOD;2019-02-08;2020-12-30;C20753;SY788;DELTA DAWN;SY;Stornoway;;N;Y;N;N;;N;;FX;FPO;NK;;;;;11.83;11.03;14.61;0.00;0.00;148.30;0.00;3;2016-03-30;MFL;;;PA;2015-01-01
GBR;GBR000C20754;8542028;MOD;2015-12-16;2020-12-13;C20754;BM177;LA CREOLE II;BM;Brixham;2IYC4;Y;Y;N;;;;;FX;FPO;NO;;;;;14.99;0.00;59.13;0.00;0.00;291.00;0.00;3;2015-12-11;MFL;;;;2015-01-01
GBR;GBR000C20755;;MOD;2019-10-09;2020-11-16;C20755;TT57;AQUILA;TT;Tarbert;;N;Y;N;N;;N;;FX;FPO;NK;;;;;4.90;4.90;0.76;0.00;0.00;11.19;0.00;3;2016-02-05;MFL;;;PA;1989-01-01
GBR;GBR000C20756;;MOD;2017-02-02;2020-11-02;C20756;NN794;COLUMBUS;NN;Newhaven;;N;Y;N;N;;N;;FX;GN;OTB;LL;FPO;;;11.99;11.55;16.06;0.00;0.00;292.00;0.00;3;2015-11-25;MFL;;;PA;2015-01-01
GBR;GBR000C20760;;MOD;2019-10-24;2020-11-26;C20760;PZ850;ALI CAT;PZ;Penzance;;N;Y;N;N;;N;;FX;LHP;LX;NK;;;;5.52;5.52;0.93;0.00;0.00;13.80;0.00;3;2015-11-19;MFL;;;PA;1980-01-01
GBR;GBR000C20761;;MOD;2019-11-05;2020-10-28;C20761;PE33;SEA FOREVER;PE;Poole;;N;Y;N;N;;N;;FX;DRB;LHP;DRB;FPO;;;6.10;6.10;0.96;0.00;0.00;22.10;0.00;3;2015-11-18;MFL;;;PA;2005-01-01
GBR;GBR000C20763;;MOD;2019-10-10;2020-12-30;C20763;B1032;ALBI;B;Belfast;;N;Y;N;N;;N;;FX;OTB;NK;;;;;6.70;6.70;1.73;0.00;0.00;73.60;0.00;3;2016-01-26;MFL;;;PA;2007-01-01
GBR;GBR000C20764;;MOD;2015-12-04;2020-12-30;C20764;PD12;HOPEFUL;PD;Peterhead;;N;Y;N;;;;;FX;FPO;NO;;;;;8.66;0.00;4.14;0.00;0.00;96.00;0.00;3;2015-12-02;MFL;;;;2008-01-01
GBR;GBR000C20765;;MOD;2019-04-09;2020-12-30;C20765;UL19;SUSAN ANNE;UL;Ullapool;;N;Y;N;N;;N;;FX;FPO;NK;;;;;6.29;6.29;1.57;0.00;0.00;22.38;0.00;3;2016-03-02;MFL;;;PA;2015-01-01
GBR;GBR000C20766;;MOD;2019-10-22;2020-11-26;C20766;E576;ANOTHER LADY II;E;Exeter;;N;Y;N;N;;N;;FX;LHP;NK;;;;;5.80;5.80;1.05;0.00;0.00;55.95;0.00;3;2015-12-22;MFL;;;PA;1998-01-01
GBR;GBR000C20767;;MOD;2019-12-12;2020-12-30;C20767;WK890;GUIDING STAR;WK;Wick;;N;Y;N;N;;N;;FX;OTB;NK;;;;;5.98;5.98;1.31;0.00;0.00;58.80;0.00;3;2016-02-19;MFL;;;PA;2015-01-01
