3alpha_code,name_en,scientific_name,genus,family,major_group,isscaap_group,name_no_nei,fao_group,match_category,species
omn,NA,NA,NA,NA,NA,NA,NA,NA,NA,monomitopus agassizii
ohv,NA,NA,NA,NA,NA,NA,NA,NA,NA,monomitopus metriostoma
ons,NA,NA,NA,NA,NA,NA,NA,NA,NA,black-edged cusk-eel
kzh,NA,NA,NA,NA,NA,NA,NA,NA,NA,neobythites steatiticus
kzg,NA,NA,NA,NA,NA,NA,NA,NA,NA,neobythites stefanovi
ooa,NA,NA,NA,NA,NA,NA,NA,NA,NA,snake blenny
ovk,NA,NA,NA,NA,NA,NA,NA,NA,NA,band cusk-eel
oqz,NA,NA,NA,NA,NA,NA,NA,NA,NA,ophidion lozanoi
ooc,NA,NA,NA,NA,NA,NA,NA,NA,NA,otophidium chickcharney
qmi,NA,NA,NA,NA,NA,NA,NA,NA,NA,bighead cusk eel
opk,NA,NA,NA,NA,NA,NA,NA,NA,NA,dusky cusk-eel
opw,NA,NA,NA,NA,NA,NA,NA,NA,NA,penopus microphthalmus
puy,NA,NA,NA,NA,NA,NA,NA,NA,NA,porogadus abyssalis
pcf,NA,NA,NA,NA,NA,NA,NA,NA,NA,pycnocraspedum fulvum
ryf,NA,NA,NA,NA,NA,NA,NA,NA,NA,raneya brasiliensis
sou,NA,NA,NA,NA,NA,NA,NA,NA,NA,barbed brotula
osu,NA,NA,NA,NA,NA,NA,NA,NA,NA,sirembo amaculata
osi,NA,NA,NA,NA,NA,NA,NA,NA,NA,sirembo imberbis
osg,NA,NA,NA,NA,NA,NA,NA,NA,NA,pudgy cuskeel
tli,NA,NA,NA,NA,NA,NA,NA,NA,NA,thalassobathia pelagica
oxm,NA,NA,NA,NA,NA,NA,NA,NA,NA,xyelacyba myersi
oph,"cusk-eels, brotulas nei",ophidiidae,ophidiidae,ophidiidae,pisces,miscellaneous demersal fishes,"cusk-eels, brotulas",yes,en_name,"cusk-eels, brotulas nei"
btl,NA,NA,NA,NA,NA,NA,NA,NA,NA,barathronus maculatus
btp,NA,NA,NA,NA,NA,NA,NA,NA,NA,bellottia apoda
bii,NA,NA,NA,NA,NA,NA,NA,NA,NA,bythites islandicus
cxl,NA,NA,NA,NA,NA,NA,NA,NA,NA,cataetyx alleni
uad,NA,NA,NA,NA,NA,NA,NA,NA,NA,cataetyx bruuni
tvy,NA,NA,NA,NA,NA,NA,NA,NA,NA,cataetyx laticeps
ahd,NA,NA,NA,NA,NA,NA,NA,NA,NA,cataetyx lepidogenys
dtj,NA,NA,NA,NA,NA,NA,NA,NA,NA,diplacanthopoma japonicum
nyk,NA,NA,NA,NA,NA,NA,NA,NA,NA,nybelinella erikssoni
pbp,NA,NA,NA,NA,NA,NA,NA,NA,NA,parabrotula plagiophthalma
ayv,NA,NA,NA,NA,NA,NA,NA,NA,NA,paraphyonus brevidorsalis
pxh,NA,NA,NA,NA,NA,NA,NA,NA,NA,velvetnose brotula
nye,NA,NA,NA,NA,NA,NA,NA,NA,NA,sciadonus cryptophthalmus
edh,NA,NA,NA,NA,NA,NA,NA,NA,NA,centrodraco acanthopoma
drn,NA,NA,NA,NA,NA,NA,NA,NA,NA,draconetta xenica
cuq,banded yellowfish,centriscops humerosus,centriscops,centriscidae,pisces,miscellaneous demersal fishes,NA,yes,en_name,banded yellowfish
mfg,NA,NA,NA,NA,NA,NA,NA,NA,NA,slender snipefish
sns,longspine snipefish,macroramphosus scolopax,macroramphosus,macroramphosidae,pisces,miscellaneous demersal fishes,NA,yes,en_name,longspine snipefish
dwj,NA,NA,NA,NA,NA,NA,NA,NA,NA,snipefish nei
npr,NA,NA,NA,NA,NA,NA,NA,NA,NA,orange bellowfish
nld,crested bellowfish,notopogon lilliei,notopogon,macroramphosidae,pisces,miscellaneous demersal fishes,NA,yes,en_name,crested bellowfish
npx,NA,NA,NA,NA,NA,NA,NA,NA,NA,longspine bellowfish
ixx,NA,NA,NA,NA,NA,NA,NA,NA,NA,notopogon spp
sni,NA,NA,NA,NA,NA,NA,NA,NA,NA,snipefishes nei
ceo,rudderfish,centrolophus niger,centrolophus,centrolophidae,pisces,miscellaneous demersal fishes,NA,yes,en_name,rudderfish
bwa,bluenose warehou,hyperoglyphe antarctica,hyperoglyphe,centrolophidae,pisces,miscellaneous demersal fishes,NA,yes,en_name,bluenose warehou
hgy,black driftfish,hyperoglyphe bythites,hyperoglyphe,centrolophidae,pisces,miscellaneous demersal fishes,NA,yes,en_name,black driftfish
hyw,barrelfish,hyperoglyphe perciformis,hyperoglyphe,centrolophidae,pisces,miscellaneous demersal fishes,NA,yes,en_name,barrelfish
bup,pacific rudderfish,psenopsis anomala,psenopsis,centrolophidae,pisces,miscellaneous demersal fishes,NA,yes,en_name,pacific rudderfish
ica,NA,NA,NA,NA,NA,NA,NA,NA,NA,southern driftfish
whr,NA,NA,NA,NA,NA,NA,NA,NA,NA,mocosa ruff
hdt,NA,NA,NA,NA,NA,NA,NA,NA,NA,new zealand ruffe
