Country (Country),ASFIS species (ASFIS species),FAO major fishing area (FAO major fishing area),Detailed production source (Detailed production source),Unit (Unit),2022,2023
France,Common edible cockle,"Atlantic, Northeast",Capture production,Tonnes - live weight,NA,1.727
France,Common european bittersweet,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.966,0.507
France,Carpet shells nei,"Atlantic, Northeast",Capture production,Tonnes - live weight,3.435,3.621
France,Warty venus,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.068,0.126
France,Common cuttlefish,"Atlantic, Northeast",Capture production,Tonnes - live weight,722.174680345572,754.934820734341
France,"Cuttlefish, bobtail squids nei","Atlantic, Northeast",Capture production,Tonnes - live weight,13.976,18.826
France,Pink cuttlefish,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.036,NA
France,Shortfin squids nei,"Atlantic, Northeast",Capture production,Tonnes - live weight,102.792498920086,121.311019438445
France,Common octopus,"Atlantic, Northeast",Capture production,Tonnes - live weight,18.7976997840173,12.9245097192225
France,"Octopuses, etc. nei","Atlantic, Northeast",Capture production,Tonnes - live weight,42.3475097192225,42.975
France,Various squids nei,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.219,0.393
France,Inshore squids nei,"Atlantic, Northeast",Capture production,Tonnes - live weight,269.94896112311,179.655509719222
France,"Sea urchins, etc. nei","Atlantic, Northeast",Capture production,Tonnes - live weight,0.35,0.296
France,Sponges,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.054,NA
Ireland,Albacore,"Atlantic, Northeast",Capture production,Tonnes - live weight,NA,642.462243412527
Ireland,Blue marlin,"Atlantic, Northeast",Capture production,Tonnes - live weight,NA,0.264038876889849
Ireland,Swordfish,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.38914686825054,4.15242915766739
Portugal,Lake(=Common) whitefish,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.00539956803455724,NA
Portugal,Brill,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.00539956803455724,NA
Portugal,Wedge sole,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.0971922246220302,NA
Portugal,Four-Spot megrim,"Atlantic, Northeast",Capture production,Tonnes - live weight,NA,0.434665226781857
Portugal,Megrims nei,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.294276457883369,1.0475161987041
Portugal,Megrim,"Atlantic, Northeast",Capture production,Tonnes - live weight,NA,0.153887688984881
Portugal,Thickback sole,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.0296976241900648,NA
Portugal,Common sole,"Atlantic, Northeast",Capture production,Tonnes - live weight,NA,0.00269978401727862
Portugal,Solea spp,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.105291576673866,NA
Portugal,Turbot,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.00539956803455724,0.00809935205183585
Portugal,Pouting(=Bib),"Atlantic, Northeast",Capture production,Tonnes - live weight,0.113390928725702,0.00809935205183585
Portugal,Blue ling,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.00809935205183585,NA
Portugal,European hake,"Atlantic, Northeast",Capture production,Tonnes - live weight,1.60097192224622,3.12904967602592
Portugal,Common mora,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.00539956803455724,NA
Portugal,Blue whiting(=poutassou),"Atlantic, Northeast",Capture production,Tonnes - live weight,1.43628509719222,72.10313174946
Portugal,Bogue,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.475161987041037,0.278077753779698
Portugal,Black seabream,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.00539956803455724,NA
Portugal,Surmullet,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.0188984881209503,0.140388768898488
Portugal,Surmullets(=Red mullets) nei,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.00539956803455724,NA
Portugal,Axillary seabream,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.0188984881209503,0.0134989200863931
Portugal,Blackspot seabream,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.00269978401727862,NA
Portugal,Blackbellied angler,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.183855291576674,0.934125269978402
Portugal,Boarfish,"Atlantic, Northeast",Capture production,Tonnes - live weight,1.42548596112311,NA
Portugal,European conger,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.0404967602591793,0.0836933045356372
Portugal,Piper gurnard,"Atlantic, Northeast",Capture production,Tonnes - live weight,NA,0.035097192224622
Portugal,Red gurnard,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.00539956803455724,0.035097192224622
Portugal,Tub gurnard,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.00269978401727862,0.0269978401727862
Portugal,Gurnards nei,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.0188984881209503,NA
Portugal,John dory,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.0620950323974082,0.140388768898488
Portugal,Large-Scaled gurnard,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.056695464362851,0.0134989200863931
Portugal,Escolar,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.0134989200863931,NA
Portugal,Angler(=Monk),"Atlantic, Northeast",Capture production,Tonnes - live weight,0.221004319654428,1.25809935205184
Portugal,Red scorpionfish,"Atlantic, Northeast",Capture production,Tonnes - live weight,NA,0.0107991360691145
Portugal,"Scorpionfishes, rockfishes nei","Atlantic, Northeast",Capture production,Tonnes - live weight,0.00809935205183585,NA
Portugal,Small red scorpionfish,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.00269978401727862,NA
Portugal,Swordfish,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.413066954643629,0.0539956803455724
Portugal,Atlantic horse mackerel,"Atlantic, Northeast",Capture production,Tonnes - live weight,44.4953293736501,25.3320734341253
Portugal,Blue jack mackerel,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.0550755939524838,NA
Portugal,Jack and horse mackerels nei,"Atlantic, Northeast",Capture production,Tonnes - live weight,5.26414686825054,NA
Portugal,Atlantic mackerel,"Atlantic, Northeast",Capture production,Tonnes - live weight,739.42494600432,384.430345572354
Portugal,Atlantic pomfret,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.00269978401727862,NA
Portugal,Blue shark,"Atlantic, Northeast",Capture production,Tonnes - live weight,79.3392440604752,NA
Portugal,Thornback ray,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.35097192224622,0.359071274298056
Portugal,Blackmouth catshark,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.0107991360691145,NA
Portugal,Nursehound,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.35097192224622,6.30669546436285
Portugal,Common cuttlefish,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.00269978401727862,NA
Portugal,Horned octopus,"Atlantic, Northeast",Capture production,Tonnes - live weight,1.14470842332613,0.164686825053996
Portugal,Common octopus,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.0134989200863931,NA
Portugal,Alloteuthis squids nei,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.0134989200863931,NA
Portugal,Common squids nei,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.00809935205183585,NA
Portugal,European flying squid,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.00809935205183585,0.0782937365010799
Portugal,Northern shortfin squid,"Atlantic, Northeast",Capture production,Tonnes - live weight,98.3990280777538,18.6123110151188
Portugal,Broadtail shortfin squid,"Atlantic, Northeast",Capture production,Tonnes - live weight,40.9017278617711,5.12688984881209
Portugal,European squid,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.0296976241900648,0.0188984881209503
Portugal,Lesser flying squid,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.0674946004319654,NA
Spain,Sturgeons nei,"Atlantic, Northeast",Capture production,Tonnes - live weight,NA,0.0107991360691145
Spain,European eel,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.286177105831533,0.531857451403888
Spain,Atlantic salmon,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.00539956803455724,0.00269978401727862
Spain,Salmonoids nei,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.0323974082073434,0.0242980561555076
Spain,Sea trout,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.00269978401727862,0
Spain,Allis shad,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.537257019438445,0.404967602591793
Spain,Allis and twaite shads,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.0404967602591793,0.091792656587473
Spain,Twaite shad,"Atlantic, Northeast",Capture production,Tonnes - live weight,6.84935205183585,13.0386609071274
Spain,Brill,"Atlantic, Northeast",Capture production,Tonnes - live weight,3.47313174946004,2.85568034557235
Spain,Wedge sole,"Atlantic, Northeast",Capture production,Tonnes - live weight,6.59166306695464,5.12844492440605
Spain,Spotted flounder,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.00809935205183585,0.00809935205183585
Spain,Common dab,"Atlantic, Northeast",Capture production,Tonnes - live weight,0,0.00269978401727862
Spain,Atlantic halibut,"Atlantic, Northeast",Capture production,Tonnes - live weight,0,0
Spain,Four-Spot megrim,"Atlantic, Northeast",Capture production,Tonnes - live weight,12.5251187904968,15.7605399568035
Spain,Lemon sole,"Atlantic, Northeast",Capture production,Tonnes - live weight,NA,0
Spain,Megrims nei,"Atlantic, Northeast",Capture production,Tonnes - live weight,402.805939524838,462.83838012959
Spain,Megrim,"Atlantic, Northeast",Capture production,Tonnes - live weight,6.3211879049676,3.65287257019438
Spain,Bastard sole,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.0404967602591793,0.00269978401727862
Spain,Thickback sole,"Atlantic, Northeast",Capture production,Tonnes - live weight,25.2067818574514,26.4568898488121
Spain,European plaice,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.356371490280778,0.472462203023758
Spain,Righteye flounders nei,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.0485961123110151,0.0998920086393089
Spain,Common sole,"Atlantic, Northeast",Capture production,Tonnes - live weight,33.532807775378,35.8960475161987
Spain,Solea spp,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.0242980561555076,0.0431965442764579
Spain,Sand sole,"Atlantic, Northeast",Capture production,Tonnes - live weight,2.85427645788337,3.59652267818575
