dataset,flag,geartype,hours,mmsi,shipName,vesselId,vesselType,value,activityDatasetId,flagTranslated
public-global-vessel-identity:v3.0,ESP,Pole and line,613.1044677777779,224075190,F/V SAN PRUDENTZIO B,e5a8a7949-96c9-1177-1d3e-5df036fec871,FISHING,613.1044677777779,public-global-fishing-effort:v3.0,Spain
public-global-vessel-identity:v3.0,ESP,Pole and line,611.4808333333335,224004800,F/V BETI SAN LUIS,dbfbf5bb5-5ee1-1283-453d-d60933e45072,FISHING,611.4808333333335,public-global-fishing-effort:v3.0,Spain
public-global-vessel-identity:v3.0,ESP,Set gillnet,609.2328172222221,224279660,NUEVO SALVADOR PADRE,a33f6a0c3-346d-587f-ec6a-737d137c690a,FISHING,609.2328172222221,public-global-fishing-effort:v3.0,Spain
public-global-vessel-identity:v3.0,ESP,Other purse seines,604.6805555555555,224138660,F/V GOROSTIAGA HNOS,e03bf013f-f0c6-6574-1fc1-152e19f85f5b,FISHING,604.6805555555555,public-global-fishing-effort:v3.0,Spain
public-global-vessel-identity:v3.0,ESP,Other purse seines,599.0647222222221,224022490,F\V GOROSTIAGA HNOS2,70aa978b8-8945-4489-5fd1-f68f8d3b4062,FISHING,599.0647222222221,public-global-fishing-effort:v3.0,Spain
public-global-vessel-identity:v3.0,FRA,Trawler,594.7374999999998,228345000,Unknown vessel,e03e58d93-395a-fe1c-f3b4-3ab4b39ef5b6,FISHING,594.7374999999998,public-global-fishing-effort:v3.0,France
public-global-vessel-identity:v3.0,ESP,Other purse seines,590.3586111111111,224021640,DEMAR,7a89ac015-500b-2c4a-8c30-7eb872f10cf4,FISHING,590.3586111111111,public-global-fishing-effort:v3.0,Spain
public-global-vessel-identity:v3.0,ESP,Set gillnet,589.3886111111112,224025280,BETI ZERUKO IZARRA,3e9e7cf14-4f2c-1fe6-9ffa-ac31044c157f,FISHING,589.3886111111112,public-global-fishing-effort:v3.0,Spain
public-global-vessel-identity:v3.0,ESP,Trawler,588.3263888888888,224010730,HNOS. SAN SALVADOR,50eb60c0d-d43a-7a32-5fb9-fcdcd02121a5,FISHING,588.3263888888888,public-global-fishing-effort:v3.0,Spain
public-global-vessel-identity:v3.0,ESP,Other purse seines,583.7607844444444,224102000,CREADOR,b3d346ed2-2cdf-1c20-45b7-d90a75383326,FISHING,583.7607844444444,public-global-fishing-effort:v3.0,Spain
public-global-vessel-identity:v3.0,ESP,Other purse seines,583.4466666666665,224096770,ALMIRANTE BERRIA,87e4acb95-5929-26de-20a7-37f4d703422b,FISHING,583.4466666666665,public-global-fishing-effort:v3.0,Spain
public-global-vessel-identity:v3.0,ESP,Set gillnet,582.1148052777779,224219670,NUEVO CHUCHI,1d5ef2345-5ba4-2ac1-144b-519aaf417864,FISHING,582.1148052777779,public-global-fishing-effort:v3.0,Spain
public-global-vessel-identity:v3.0,ESP,Pole and line,578.9430555555555,224141970,BERRIZ MATUTINA,c073f3354-4e26-d9ca-2e65-de0f72364c94,FISHING,578.9430555555555,public-global-fishing-effort:v3.0,Spain
public-global-vessel-identity:v3.0,ESP,Pole and line,578.2477777777779,224052360,KALAMUA BI,787adb20e-ea33-5535-f99d-4be89aa5ed04,FISHING,578.2477777777779,public-global-fishing-effort:v3.0,Spain
public-global-vessel-identity:v3.0,ESP,Set longline,575.1374738888888,224113270,NUEVO MADRE ROSAURA,51b748eb2-28b8-821e-749b-51545211d5f3,FISHING,575.1374738888888,public-global-fishing-effort:v3.0,Spain
public-global-vessel-identity:v3.0,ESP,Set gillnet,570.3591666666667,224050280,OSTARTE,e26e7823b-bf21-9266-7c0f-f934f286f867,FISHING,570.3591666666667,public-global-fishing-effort:v3.0,Spain
public-global-vessel-identity:v3.0,ESP,Pole and line,568.5302777777779,224056170,F/V SAN ANTONIO BERR,95f4928be-e8d2-3717-3013-50423ab3b834,FISHING,568.5302777777779,public-global-fishing-effort:v3.0,Spain
public-global-vessel-identity:v3.0,ESP,Other purse seines,567.901111111111,224157840,ITSAS LAGUNAK,d6c8d29c6-601f-2230-6960-e43d9be02810,FISHING,567.901111111111,public-global-fishing-effort:v3.0,Spain
public-global-vessel-identity:v3.0,FRA,Trawler,567.0249016666666,227123700,F/V LA ROUMASSE,14c7b899f-ff4e-cfb3-67e1-44e1c5bfc20d,FISHING,567.0249016666666,public-global-fishing-effort:v3.0,France
public-global-vessel-identity:v3.0,FRA,Set gillnet,564.758313611111,228114000,F/V AZKARRA,ae676ddae-e96a-8f4b-3bf6-122ace9ce078,FISHING,564.758313611111,public-global-fishing-effort:v3.0,France
public-global-vessel-identity:v3.0,FRA,Fixed gear,564.2922222222222,228201000,Unknown vessel,0be58d269-9d39-9d19-6a7f-4ec395b80b26,FISHING,564.2922222222222,public-global-fishing-effort:v3.0,France
public-global-vessel-identity:v3.0,FRA,Set gillnet,563.6230555555555,228008900,F/V SOUVENIR,24b67f614-415c-f101-19d6-d90f0166ae7c,FISHING,563.6230555555555,public-global-fishing-effort:v3.0,France
public-global-vessel-identity:v3.0,ESP,Other purse seines,559.463746111111,224050850,ESTRELLAPOLARPRIMERO,b5189ab1f-f4c5-395e-6b5a-793f9d3c9730,FISHING,559.463746111111,public-global-fishing-effort:v3.0,Spain
public-global-vessel-identity:v3.0,ESP,Pole and line,556.450277777778,224063680,F/V BETI PIEDAD,65d6d8f49-9ef5-cca9-867b-b8e7dcca91c5,FISHING,556.450277777778,public-global-fishing-effort:v3.0,Spain
public-global-vessel-identity:v3.0,FRA,Fishing,555.647108888889,227309000,F/V ABLETTE,373f106e0-0a65-6d6a-3521-d74336092791,FISHING,555.647108888889,public-global-fishing-effort:v3.0,France
public-global-vessel-identity:v3.0,FRA,Fixed gear,555.1886111111111,228201000,F/V MAJOUB,21e2ba6ce-e5b0-12c7-1dd1-0ba34bb61979,FISHING,555.1886111111111,public-global-fishing-effort:v3.0,France
public-global-vessel-identity:v3.0,ESP,Set longline,554.0383333333334,224006570,PEDRINA BLANCA,262fa8c11-19ea-c6fa-8c13-3bf95e129328,FISHING,554.0383333333334,public-global-fishing-effort:v3.0,Spain
public-global-vessel-identity:v3.0,ESP,Pole and line,553.743611111111,224004770,IRIGOIEN BERRIA,1ba435faf-f41d-1adf-09c5-778adec5203b,FISHING,553.743611111111,public-global-fishing-effort:v3.0,Spain
public-global-vessel-identity:v3.0,ESP,Other purse seines,553.6186111111111,224104450,NUESTRO PADRE TONINO,652c596b9-9d34-992f-aa65-acdaa2ee496c,FISHING,553.6186111111111,public-global-fishing-effort:v3.0,Spain
public-global-vessel-identity:v3.0,ESP,Fishing,553.185,224104820,PADRE JOAQUIN,a3e2a687f-fa15-464e-3530-18de3a6d9111,FISHING,553.185,public-global-fishing-effort:v3.0,Spain
public-global-vessel-identity:v3.0,FRA,Set gillnet,553.1278774999998,227536000,F/V DAMAFRAN,f85ccb81e-e0d9-e902-fd9f-c4ff70236cd5,FISHING,553.1278774999998,public-global-fishing-effort:v3.0,France
public-global-vessel-identity:v3.0,ESP,Other purse seines,551.9466686111111,224049650,SAN ROQUE DIVINO,eaf7b6353-3a37-b55d-1541-9f27a2acc154,FISHING,551.9466686111111,public-global-fishing-effort:v3.0,Spain
public-global-vessel-identity:v3.0,BEL,Trawler,551.6927777777776,205133000,Z26 AVANTI,c0f937bae-e54c-9e1c-0f2f-c4171efa998e,FISHING,551.6927777777776,public-global-fishing-effort:v3.0,Belgium
public-global-vessel-identity:v3.0,BEL,Trawler,551.351111111111,205198000,FV Z60 BLUE ANGEL,6a7556f4b-bdcb-3cf5-8c74-4d3c5a5d0dc7,FISHING,551.351111111111,public-global-fishing-effort:v3.0,Belgium
public-global-vessel-identity:v3.0,ESP,Set gillnet,550.7058333333333,224300560,NUEVO MAXI Y MARIO,9d234e866-69a8-02b8-179a-5056007b906a,FISHING,550.7058333333333,public-global-fishing-effort:v3.0,Spain
public-global-vessel-identity:v3.0,ESP,Pole and line,549.0563888888889,224005870,F/V MONTSERRAT BERR,c38335d1c-c7da-953b-975c-b9f31810b1a7,FISHING,549.0563888888889,public-global-fishing-effort:v3.0,Spain
public-global-vessel-identity:v3.0,FRA,Trawler,543.6736111111112,227640970,F/V LES CHIGNOLLES,ace12391b-b239-baf2-c8a3-754c5e6ed1fa,FISHING,543.6736111111112,public-global-fishing-effort:v3.0,France
public-global-vessel-identity:v3.0,ESP,Set longline,535.5380555555555,224780000,BREOGAN UNO,c6b63f2a2-2296-69e6-c1e7-23eb1b274902,FISHING,535.5380555555555,public-global-fishing-effort:v3.0,Spain
public-global-vessel-identity:v3.0,ESP,Other purse seines,532.293291388889,224028250,ERMITA PILAR,143856c4b-bbf5-1ffd-f62b-12a0aa8d576b,FISHING,532.293291388889,public-global-fishing-effort:v3.0,Spain
public-global-vessel-identity:v3.0,ESP,Set longline,528.4894444444444,224020340,VERA,8912624e4-43f8-7878-652b-b619c84112c2,FISHING,528.4894444444444,public-global-fishing-effort:v3.0,Spain
public-global-vessel-identity:v3.0,ESP,Set longline,527.8327777777779,224103970,RAUL PRIMERO,962329076-63de-4a6a-6fe1-66bfbddb3f2c,FISHING,527.8327777777779,public-global-fishing-effort:v3.0,Spain
public-global-vessel-identity:v3.0,FRA,Trawler,525.9079094444445,227802000,F/V NOUVELLE VAGUE,c3db87e79-9cf2-2e19-36b8-2a88d7b2ab9d,FISHING,525.9079094444445,public-global-fishing-effort:v3.0,France
public-global-vessel-identity:v3.0,ESP,Other purse seines,525.5344444444444,224103750,ALBO PUERTAS,d6389a5fe-ea0b-6181-faf3-8be96d9287ae,FISHING,525.5344444444444,public-global-fishing-effort:v3.0,Spain
